award,start-date,fund,intervention,amount,organisation,organisations,documentation-url,notes
1,2021-03-01,local-plan-pathfinders,local-plan-pathfinders,80000,local-authority:ASF,,,
2,2021-03-01,local-plan-pathfinders,local-plan-pathfinders,60000,local-authority:BIR,,,
3,2021-03-01,local-plan-pathfinders,local-plan-pathfinders,65000,local-authority:BRX,,,
4,2021-03-01,local-plan-pathfinders,local-plan-pathfinders,80000,local-authority:DAC,,,
5,2021-03-01,local-plan-pathfinders,local-plan-pathfinders,45000,local-authority:ESK,,,
6,2021-03-01,local-plan-pathfinders,local-plan-pathfinders,80000,local-authority:HNS,,,
7,2021-03-01,local-plan-pathfinders,local-plan-pathfinders,80000,local-authority:KEC,,,
8,2021-03-01,local-plan-pathfinders,local-plan-pathfinders,60000,local-authority:NET,local-authority:GAT,,
9,2021-03-01,local-plan-pathfinders,local-plan-pathfinders,65000,local-authority:PLY,local-authority:SHA;local-authority:WDE,,
10,2021-03-01,local-plan-pathfinders,local-plan-pathfinders,60000,local-authority:STR,local-authority:WAW,,
11,2021-10-01,proptech-round-1,engagement,100000,local-authority:BDG,,,
12,2021-10-01,proptech-round-1,engagement,100000,local-authority:BOS,,,
13,2021-10-01,proptech-round-1,engagement,100000,local-authority:CHS,,,
14,2021-10-01,proptech-round-1,engagement,63193,local-authority:COT,,,
15,2021-10-01,proptech-round-1,engagement,100000,local-authority:DAC,,,
16,2021-10-01,proptech-round-1,engagement,95000,local-authority:DST,,,
17,2021-10-01,proptech-round-1,engagement,100000,local-authority:HNS,,,
18,2021-10-01,proptech-round-1,engagement,100000,local-authority:NLN,,,
19,2021-10-01,proptech-round-1,engagement,98250,local-authority:SCA,,,"actual amount on Section 31 form"
20,2021-10-01,proptech-round-1,engagement,90000,local-authority:SKP,,,
21,2021-10-01,proptech-round-1,engagement,100000,local-authority:STH,,,
22,2021-10-01,proptech-round-1,engagement,99975,local-authority:WAT,,,
23,2021-10-01,proptech-round-1,engagement,30000,local-authority:WND,,,
24,2022-01-21,software-round-1,integration,58000,local-authority:BAN,,,Exploring ways customers can interact with live spatial geographic information system (GIS) data rather than static documents.
25,2022-01-21,software-round-1,integration,150000,local-authority:COL,,,Exploring ways customers can interact with live spatial geographic information system (GIS) data rather than static documents.
26,2022-01-21,software-round-1,integration,150000,local-authority:HAV,,,"Exploring full integration of pre-application advice requests, payments and bookings with Development Management software and the connection of Management Information and SMS notification software to improve customer experience, disjointed business processes, and outdated reporting practices."
27,2022-01-21,software-round-1,integration,150000,local-authority:HRW,,,Ensuring that information submitted in the comment webform is automatically loaded into the relevant system so that the time taken to process consultee comments can be reduced.
28,2022-01-21,software-round-1,integration,149000,local-authority:NDE,,,"Exploring and linking of all SQL data and intelligence to address the problem of data duplication. This will improve efficiency by decreasing duplication, progress reporting, and ensure the council has a robust corporate database and can provide an improved service to users."
29,2022-01-21,software-round-1,integration,114000,local-authority:NGM,,,Deriving more value from planning data through efficient and effective data publishing processes to improve reporting.
30,2022-01-21,software-round-1,integration,150000,local-authority:SEV,,,"Exploring and implementing solutions to improve access to Tree Preservation Order information, and submitting applications to carry out works to protected trees and notifications of works to trees in Conservation Areas."
31,2022-01-21,software-round-1,integration,150000,local-authority:TEW,,,"Exploring an open and standard way of exposing planning application data to provide progress updates to service users via a tracker, to address their concerns about a lack of information on progress or timescales for determining a planning application."
32,2022-01-21,software-round-1,software,400000,local-authority:CMD,,,
33,2022-01-21,software-round-1,software,348000,local-authority:DAC,,,
34,2022-01-21,software-round-1,software,358000,local-authority:DNC,,,
35,2022-01-21,software-round-1,software,395000,local-authority:GLO,,,
36,2022-01-21,software-round-1,software,400000,local-authority:MDW,,,
37,2022-01-21,software-round-1,software,400000,local-authority:NET,,,
38,2022-03-01,proptech-round-2,engagement,70500,local-authority:BIR,,,"actual amount on Section 31 form"
39,2022-03-01,proptech-round-2,engagement,95800,local-authority:BOS,,,
40,2022-03-01,proptech-round-2,engagement,125000,local-authority:CON,,,
41,2022-03-01,proptech-round-2,engagement,121750,local-authority:DAC,,,
42,2022-03-01,proptech-round-2,engagement,56500,local-authority:EHA,,,"actual amount on Section 31 form"
43,2022-03-01,proptech-round-2,engagement,228800,local-authority:EPP,local-authority:EHE;local-authority:HAR;local-authority:HRT;local-authority:ESS,,
44,2022-03-01,proptech-round-2,engagement,125000,local-authority:EPS,,,
45,2022-03-01,proptech-round-2,engagement,83450,local-authority:HAA,,,"actual amount on Section 31 form"
46,2022-03-01,proptech-round-2,engagement,125000,local-authority:HAO,,,
47,2022-03-01,proptech-round-2,engagement,99000,local-authority:HRY,,,
48,2022-03-01,proptech-round-2,engagement,118000,local-authority:KEC,,,
49,2022-03-01,proptech-round-2,engagement,92164,local-authority:LBH,,,
50,2022-03-01,proptech-round-2,engagement,86750,local-authority:LCE,,,"actual amount on Section 31 form"
51,2022-03-01,proptech-round-2,engagement,112500,local-authority:LEE,,,
52,2022-03-01,proptech-round-2,engagement,125000,local-authority:NWM,,,
53,2022-03-01,proptech-round-2,engagement,285000,local-authority:PLY,local-authority:SHA;local-authority:WDE,,
54,2022-03-01,proptech-round-2,engagement,125000,local-authority:RDB,,,
55,2022-03-01,proptech-round-2,engagement,90020,local-authority:RUN,,,
56,2022-03-01,proptech-round-2,engagement,117000,local-authority:SCA,,,
57,2022-03-01,proptech-round-2,engagement,125000,local-authority:SRY,,,"actual amount on Section 31 form"
58,2022-03-01,proptech-round-2,engagement,125000,local-authority:STH,,,
59,2022-03-01,proptech-round-2,engagement,125000,local-authority:STV,,,
60,2022-03-01,proptech-round-2,engagement,123000,local-authority:WAT,,,
61,2022-03-01,proptech-round-2,engagement,72000,local-authority:WFT,,,"actual amount on Section 31 form"
62,2022-03-01,proptech-round-2,engagement,120000,local-authority:WLL,,,
63,2022-03-01,proptech-round-2,engagement,98000,local-authority:WND,local-authority:RIC,,
64,2022-03-01,proptech-round-2,engagement,118250,local-authority:WOX,,,"actual amount on Section 31 form"
65,2022-03-01,proptech-round-2,engagement,92950,local-authority:WRL,,,"actual amount on Section 31 form"
66,2022-09-01,software-top-up-1,software,2300000,local-authority:BUC,,,
67,2022-09-01,software-top-up-1,software,2300000,local-authority:LBH,,,
68,2022-09-01,software-top-up-1,software,250000,local-authority:SWK,,,
69,2022-12-01,proptech-round-2.5,engagement,44000,local-authority:BOS,,,
70,2022-12-01,proptech-round-2.5,engagement,100000,local-authority:CHS,local-authority:HNS,,
71,2022-12-01,proptech-round-2.5,engagement,230000,local-authority:COT,local-authority:WOX,,
72,2022-12-01,proptech-round-2.5,engagement,30000,local-authority:DAC,local-authority:SAL;local-authority:THE;local-authority:HER;local-authority:WAT;local-authority:HRT,,
73,2022-12-01,proptech-round-2.5,engagement,100000,local-authority:HAA,,,
74,2022-12-01,proptech-round-2.5,engagement,100000,local-authority:HNS,local-authority:CHS,,
75,2022-12-01,proptech-round-2.5,engagement,200000,local-authority:PLY,local-authority:SHA;local-authority:WDE,,
76,2022-12-01,proptech-round-2.5,engagement,100000,local-authority:STH,,,
77,2022-12-01,proptech-round-2.5,engagement,100000,local-authority:WND,local-authority:RIC,,
78,2023-01-01,software-top-up-2,software,250000,local-authority:CMD,,,
79,2023-01-01,software-top-up-2,software,320000,local-authority:DAC,,,
80,2023-01-01,software-top-up-2,software,250000,local-authority:MDW,,,
81,2023-01-01,software-top-up-2,software,386000,local-authority:NET,,,
82,2023-03-01,planning-software-improvement,software,400000,local-authority:BIR,,,
83,2023-03-01,planning-software-improvement,software,400000,local-authority:BNE,,,
84,2023-03-01,planning-software-improvement,software,400000,local-authority:CAT,,,
85,2023-03-01,planning-software-improvement,software,400000,local-authority:EPS,,,
86,2023-03-01,planning-software-improvement,integration,300000,local-authority:GAT,,,
87,2023-03-01,planning-software-improvement,integration,150000,local-authority:DOV,,,
88,2023-03-01,planning-software-improvement,integration,250000,local-authority:DST,,,
89,2023-03-01,planning-software-improvement,integration,250000,local-authority:GRY,,,
90,2023-03-01,planning-software-improvement,integration,300000,local-authority:KTT,,,
91,2023-03-01,planning-software-improvement,integration,105306,local-authority:LIV,,,
92,2023-03-01,planning-software-improvement,integration,250000,local-authority:NLN,,,
93,2023-03-01,planning-software-improvement,integration,248000,local-authority:NSM,,,
94,2023-03-01,planning-software-improvement,integration,225600,local-authority:RDB,,,
95,2023-03-01,planning-software-improvement,integration,300000,local-authority:SAL,,,
96,2023-03-01,planning-software-improvement,integration,250000,local-authority:SLF,,,
97,2023-03-01,planning-software-improvement,integration,300000,local-authority:TEW,,,
98,2023-03-01,planning-software-improvement,integration,353000,local-authority:WBK,,,
99,2023-03-01,planning-software-improvement,integration,250000,local-authority:WFT,,,
100,2023-03-01,planning-software-improvement,integration,136225,local-authority:WRL,,,
101,2023-03-01,proptech-round-3,engagement,250000,local-authority:BIR,,,
102,2023-03-01,proptech-round-3,engagement,238800,local-authority:BOS,,,
103,2023-03-01,proptech-round-3,engagement,365000,local-authority:CON,,,
104,2023-03-01,proptech-round-3,engagement,50000,local-authority:COT,local-authority:WOX,,
105,2023-03-01,proptech-round-3,engagement,325050,local-authority:DAC,local-authority:SAL;local-authority:THE;local-authority:HRT;local-authority:WAT;local-authority:HER,,"actual amount on Section 31 form"
106,2023-03-01,proptech-round-3,engagement,295000,local-authority:EPP,local-authority:EHE;local-authority:HAR;local-authority:ESS;local-authority:HRT,,
107,2023-03-01,proptech-round-3,engagement,250000,local-authority:EPS,,,
108,2023-03-01,proptech-round-3,engagement,30000,local-authority:HNS,local-authority:CHS,,
109,2023-03-01,proptech-round-3,engagement,375000,local-authority:NGM,local-authority:BRD,,
110,2023-03-01,proptech-round-3,engagement,100000,local-authority:NWM,,,
111,2023-03-01,proptech-round-3,engagement,290000,local-authority:SCA,local-authority:CAB,,
112,2023-03-01,proptech-round-3,engagement,180000,local-authority:STH,,,
113,2023-03-01,proptech-round-3,engagement,99000,local-authority:WFT,,,
114,2023-03-01,proptech-round-3,engagement,100000,local-authority:WND,local-authority:RIC,,
115,2023-03-01,proptech-round-3,engagement,325000,local-authority:WRL,,,
116,2023-12-01,software-top-up-3,software,2000000,local-authority:BUC,,,
117,2023-12-01,software-top-up-3,software,2000000,local-authority:CMD,,,
118,2023-12-01,software-top-up-3,software,2200000,local-authority:LBH,,,
119,2024-01-01,software-top-up-4,improvement,40000,local-authority:DST,,,
120,2024-01-01,software-top-up-4,improvement,40000,local-authority:LIV,,,
121,2024-01-01,software-top-up-4,improvement,40000,local-authority:NLN,,,
122,2024-01-01,software-top-up-4,improvement,40000,local-authority:RDB,,,
123,2024-01-01,software-top-up-4,improvement,40000,local-authority:SLF,,,
124,2024-01-01,software-top-up-4,improvement,40000,local-authority:WFT,,,
125,2024-01-01,software-top-up-4,improvement,40000,local-authority:WRL,,,
126,2024-02-01,dpif-round-2,improvement,100000,local-authority:ASF,,,
127,2024-02-01,dpif-round-2,improvement,100000,local-authority:BAI,,,
128,2024-02-01,dpif-round-2,improvement,100000,local-authority:BDG,,,
129,2024-02-01,dpif-round-2,improvement,100000,local-authority:BOL,,,
130,2024-02-01,dpif-round-2,improvement,100000,local-authority:BST,,,
131,2024-02-01,dpif-round-2,improvement,100000,local-authority:CAS,,,
132,2024-02-01,dpif-round-2,improvement,100000,local-authority:CBF,,,
133,2024-02-01,dpif-round-2,improvement,100000,local-authority:CRY,,,
134,2024-02-01,dpif-round-2,improvement,100000,local-authority:ECA,,,
135,2024-02-01,dpif-round-2,improvement,100000,local-authority:EHA,,,
136,2024-02-01,dpif-round-2,improvement,100000,local-authority:EHE,,,
137,2024-02-01,dpif-round-2,improvement,100000,local-authority:ENF,,,
138,2024-02-01,dpif-round-2,improvement,100000,local-authority:HNS,,,
139,2024-02-01,dpif-round-2,improvement,100000,local-authority:HOR,,,
140,2024-02-01,dpif-round-2,improvement,100000,local-authority:HRY,,,
141,2024-02-01,dpif-round-2,improvement,100000,local-authority:KEC,,,
142,2024-02-01,dpif-round-2,improvement,100000,local-authority:LCE,,,
143,2024-02-01,dpif-round-2,improvement,100000,local-authority:LND,,,
144,2024-02-01,dpif-round-2,improvement,100000,local-authority:MIK,,,
145,2024-02-01,dpif-round-2,improvement,100000,local-authority:NBL,,,
146,2024-02-01,dpif-round-2,improvement,100000,local-authority:NEW,,,
147,2024-02-01,dpif-round-2,improvement,100000,local-authority:NYUA,,,
148,2024-02-01,dpif-round-2,improvement,100000,local-authority:PLY,,,
149,2024-02-01,dpif-round-2,improvement,100000,local-authority:PTE,,,
150,2024-02-01,dpif-round-2,improvement,100000,local-authority:RCH,,,
151,2024-02-01,dpif-round-2,improvement,100000,local-authority:ROH,,,
152,2024-02-01,dpif-round-2,improvement,100000,local-authority:ROS,,,
153,2024-02-01,dpif-round-2,improvement,100000,local-authority:SAW,,,
154,2024-02-01,dpif-round-2,improvement,100000,local-authority:SCA,,,
155,2024-02-01,dpif-round-2,improvement,100000,local-authority:SGC,,,
156,2024-02-01,dpif-round-2,improvement,100000,local-authority:SNO,local-authority:BRO,,
157,2024-02-01,dpif-round-2,improvement,100000,local-authority:SPE,,,
158,2024-02-01,dpif-round-2,improvement,100000,local-authority:SST,,,
159,2024-02-01,dpif-round-2,improvement,100000,local-authority:SUR,,,
160,2024-02-01,dpif-round-2,improvement,100000,local-authority:TAN,,,
161,2024-02-01,dpif-round-2,improvement,100000,local-authority:TEN,,,
162,2024-02-01,dpif-round-2,improvement,100000,local-authority:TOB,,,
163,2024-02-01,dpif-round-2,improvement,100000,local-authority:TRF,,,
164,2024-02-01,dpif-round-2,improvement,100000,local-authority:TWH,,,
165,2024-02-01,dpif-round-2,improvement,100000,local-authority:WAE,,,
166,2024-02-01,dpif-round-2,improvement,100000,local-authority:WSM,,,
167,2024-02-01,dpif-round-2,improvement,100000,local-authority:YOR,,,
168,2024-02-01,dpif-round-2,improvement,100000,national-park-authority:Q72617158,,,
169,2024-02-01,proptech-round-4,innovation,85000,local-authority:BAI,,,
170,2024-02-01,proptech-round-4,innovation,206900,local-authority:BRD,local-authority:LDS,,
171,2024-02-01,proptech-round-4,innovation,85000,local-authority:CBF,,,
172,2024-02-01,proptech-round-4,innovation,224400,local-authority:CHW,local-authority:FOE,,
173,2024-02-01,proptech-round-4,innovation,85000,local-authority:CON,,,
174,2024-02-01,proptech-round-4,innovation,50000,local-authority:DAC,,,
175,2024-02-01,proptech-round-4,innovation,85000,local-authority:DUR,,,
176,2024-02-01,proptech-round-4,innovation,73152,local-authority:EHE,,,
177,2024-02-01,proptech-round-4,innovation,85000,local-authority:HNS,,,
178,2024-02-01,proptech-round-4,innovation,225000,local-authority:HRY,local-authority:BNE,,
179,2024-02-01,proptech-round-4,innovation,85000,local-authority:KEC,,,
180,2024-02-01,proptech-round-4,innovation,46875,local-authority:LAC,,,
181,2024-02-01,proptech-round-4,innovation,76400,local-authority:LBH,,,
182,2024-02-01,proptech-round-4,innovation,69000,local-authority:LEW,,,
183,2024-02-01,proptech-round-4,innovation,40000,local-authority:NDE,,,
184,2024-02-01,proptech-round-4,innovation,225000,local-authority:NED,local-authority:BAE;local-authority:CHS,,
185,2024-02-01,proptech-round-4,innovation,84720,local-authority:NET,,,
186,2024-02-01,proptech-round-4,innovation,222040,local-authority:NET,local-authority:GAT,,
187,2024-02-01,proptech-round-4,innovation,225000,local-authority:NKE,local-authority:LIN;local-authority:WLI,,
188,2024-02-01,proptech-round-4,innovation,80000,local-authority:NTY,,,
189,2024-02-01,proptech-round-4,innovation,225000,local-authority:PLY,local-authority:SHA;local-authority:WDE,,
190,2024-02-01,proptech-round-4,innovation,47000,local-authority:REI,,,
191,2024-02-01,proptech-round-4,innovation,225000,local-authority:SCA,local-authority:CAB,,
192,2024-02-01,proptech-round-4,innovation,150000,local-authority:SCA,local-authority:CAB,,
193,2024-02-01,proptech-round-4,innovation,225000,local-authority:SEV,local-authority:NGM,,
194,2024-02-01,proptech-round-4,innovation,77213,local-authority:SLF,,,
195,2024-02-01,proptech-round-4,innovation,85000,local-authority:SRY,,,
196,2024-02-01,proptech-round-4,innovation,66813,local-authority:STE,,,
197,2024-02-01,proptech-round-4,innovation,225000,local-authority:STH,local-authority:LND,,
198,2024-02-01,proptech-round-4,innovation,85000,local-authority:SUA,,,
199,2024-02-01,proptech-round-4,innovation,82750,local-authority:TAN,,,"actual amount on Section 31 form"
200,2024-02-01,proptech-round-4,innovation,84610,local-authority:TEI,,,
201,2024-02-01,proptech-round-4,innovation,84250,local-authority:THA,,,"actual amount on Section 31 form"
202,2024-02-01,proptech-round-4,innovation,85000,local-authority:TWH,,,
203,2024-02-01,proptech-round-4,innovation,85000,local-authority:WGN,,,
204,2024-02-01,proptech-round-4,innovation,95000,local-authority:WOX,,,
205,2024-02-01,proptech-round-4,innovation,83000,local-authority:WRL,local-authority:COT,,
206,2025-03-18,dpif-round-3,improvement,50000,local-authority:NWA,,,
207,2025-03-18,dpif-round-3,improvement,50000,local-authority:EXE,,,
208,2025-03-18,dpif-round-3,improvement,50000,local-authority:OXO,,,
209,2025-03-18,dpif-round-3,improvement,50000,local-authority:ADU,,,
210,2025-03-18,dpif-round-3,improvement,50000,local-authority:BAE,,,
211,2025-03-18,dpif-round-3,improvement,50000,local-authority:MAI,,,
212,2025-03-18,dpif-round-3,improvement,50000,local-authority:FOE,,,
213,2025-03-18,dpif-round-3,improvement,50000,local-authority:STE,,,
214,2025-03-18,dpif-round-3,improvement,50000,local-authority:ERY,,,
215,2025-03-18,dpif-round-3,improvement,50000,local-authority:HUN,,,
216,2025-03-18,dpif-round-3,improvement,50000,local-authority:TAM,,,
217,2025-03-18,dpif-round-3,improvement,50000,local-authority:BUR,,,
218,2025-03-18,dpif-round-3,improvement,50000,local-authority:OLD,,,
219,2025-03-18,dpif-round-3,improvement,50000,local-authority:CLD,,,
220,2025-03-18,dpif-round-3,improvement,50000,national-park-authority:Q27159704,,,
221,2025-03-18,dpif-round-3,improvement,50000,local-authority:NTY,,,
222,2025-03-18,dpif-round-3,improvement,50000,local-authority:UTT,,,
223,2025-03-18,dpif-round-3,improvement,50000,local-authority:STH,,,
224,2025-03-18,dpif-round-3,improvement,50000,local-authority:WOX,,,
225,2025-03-18,dpif-round-3,improvement,50000,local-authority:COL,,,
226,2025-03-18,dpif-round-3,improvement,50000,local-authority:HAA,,,
227,2025-03-18,dpif-round-3,improvement,50000,local-authority:CRW,,,
228,2025-03-18,dpif-round-3,improvement,50000,local-authority:BAN,,,
229,2025-03-18,dpif-round-3,improvement,50000,local-authority:WOT,,,
230,2025-03-18,dpif-round-3,improvement,50000,local-authority:CHT,,,
231,2025-03-18,dpif-round-3,improvement,50000,local-authority:COV,,,
232,2025-03-18,dpif-round-3,improvement,50000,local-authority:MAN,,,
233,2025-03-18,dpif-round-3,improvement,50000,local-authority:HIL,,,
234,2025-03-18,dpif-round-3,improvement,50000,local-authority:COT,,,
235,2025-03-18,dpif-round-3,improvement,50000,local-authority:HAT,,,
236,2025-03-18,dpif-round-3,improvement,50000,local-authority:NNO,,,
237,2025-03-18,dpif-round-3,improvement,50000,local-authority:STA,,,
238,2025-03-18,dpif-round-3,improvement,50000,local-authority:BNS,,,
239,2025-03-18,dpif-round-3,improvement,50000,local-authority:CAN,,,
240,2025-03-18,dpif-round-3,improvement,50000,local-authority:THA,,,
241,2025-03-18,dpif-round-3,improvement,50000,local-authority:KHL,,,
242,2025-03-18,dpif-round-3,improvement,50000,local-authority:STV,,,
243,2025-03-18,dpif-round-3,improvement,50000,local-authority:HAL,,,
244,2025-03-18,dpif-round-3,improvement,50000,local-authority:KWL,,,
245,2025-03-18,dpif-round-3,improvement,50000,local-authority:LDS,,,
246,2025-03-18,dpif-round-3,improvement,50000,local-authority:BRY,,,
247,2025-03-18,dpif-round-3,improvement,50000,local-authority:SKP,,,
248,2025-03-18,dpif-round-3,improvement,50000,local-authority:LEW,,,
249,2025-03-18,dpif-round-3,improvement,50000,local-authority:SFT,,,
250,2025-03-18,dpif-round-3,improvement,50000,local-authority:IPS,,,
251,2025-03-18,dpif-round-3,improvement,50000,local-authority:WEA,,,
252,2025-03-18,software-top-up-5,software,400000,local-authority:CMD,,,
253,2025-03-18,software-top-up-5,software,400000,local-authority:BUC,,,
254,2025-03-18,software-top-up-5,software,500000,local-authority:LBH,,,
