organisation,project,provision-reason,specification,dataset
local-authority:BUC,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:BUC,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:BUC,open-digital-planning,expected,conservation-area,conservation-area
local-authority:BUC,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:BUC,open-digital-planning,expected,tree-preservation-order,tree
local-authority:BUC,open-digital-planning,expected,tree-preservation-order,tree
local-authority:BUC,open-digital-planning,expected,tree-preservation-order,tree-preservation-zone
local-authority:CAT,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:CAT,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:CAT,open-digital-planning,expected,conservation-area,conservation-area
local-authority:CAT,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:CAT,open-digital-planning,expected,tree-preservation-order,tree
local-authority:CAT,open-digital-planning,expected,tree-preservation-order,tree
local-authority:CAT,open-digital-planning,expected,tree-preservation-order,tree-preservation-zone
local-authority:CMD,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:CMD,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:CMD,open-digital-planning,expected,conservation-area,conservation-area
local-authority:CMD,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:CMD,open-digital-planning,expected,tree-preservation-order,tree
local-authority:CMD,open-digital-planning,expected,tree-preservation-order,tree
local-authority:CMD,open-digital-planning,expected,tree-preservation-order,tree-preservation-zone
local-authority:DAC,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:DAC,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:DAC,open-digital-planning,expected,conservation-area,conservation-area
local-authority:DAC,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:DAC,open-digital-planning,expected,tree-preservation-order,tree
local-authority:DAC,open-digital-planning,expected,tree-preservation-order,tree
local-authority:DAC,open-digital-planning,expected,tree-preservation-order,tree-preservation-zone
local-authority:DNC,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:DNC,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:DNC,open-digital-planning,expected,conservation-area,conservation-area
local-authority:DNC,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:DNC,open-digital-planning,expected,tree-preservation-order,tree
local-authority:DNC,open-digital-planning,expected,tree-preservation-order,tree
local-authority:DNC,open-digital-planning,expected,tree-preservation-order,tree-preservation-zone
local-authority:GLO,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:GLO,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:GLO,open-digital-planning,expected,conservation-area,conservation-area
local-authority:GLO,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:GLO,open-digital-planning,expected,tree-preservation-order,tree
local-authority:GLO,open-digital-planning,expected,tree-preservation-order,tree
local-authority:GLO,open-digital-planning,expected,tree-preservation-order,tree-preservation-zone
local-authority:LBH,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:LBH,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:LBH,open-digital-planning,expected,conservation-area,conservation-area
local-authority:LBH,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:LBH,open-digital-planning,expected,tree-preservation-order,tree
local-authority:LBH,open-digital-planning,expected,tree-preservation-order,tree
local-authority:LBH,open-digital-planning,expected,tree-preservation-order,tree-preservation-zone
local-authority:MDW,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:MDW,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:MDW,open-digital-planning,expected,conservation-area,conservation-area
local-authority:MDW,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:MDW,open-digital-planning,expected,tree-preservation-order,tree
local-authority:MDW,open-digital-planning,expected,tree-preservation-order,tree
local-authority:MDW,open-digital-planning,expected,tree-preservation-order,tree-preservation-zone
local-authority:NBL,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:NBL,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:NBL,open-digital-planning,expected,conservation-area,conservation-area
local-authority:NBL,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:NBL,open-digital-planning,expected,tree-preservation-order,tree
local-authority:NBL,open-digital-planning,expected,tree-preservation-order,tree
local-authority:NBL,open-digital-planning,expected,tree-preservation-order,tree-preservation-zone
local-authority:NED,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:NED,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:NED,open-digital-planning,expected,conservation-area,conservation-area
local-authority:NED,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:NED,open-digital-planning,expected,tree-preservation-order,tree
local-authority:NED,open-digital-planning,expected,tree-preservation-order,tree
local-authority:NED,open-digital-planning,expected,tree-preservation-order,tree-preservation-zone
local-authority:NET,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:NET,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:NET,open-digital-planning,expected,conservation-area,conservation-area
local-authority:NET,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:NET,open-digital-planning,expected,tree-preservation-order,tree
local-authority:NET,open-digital-planning,expected,tree-preservation-order,tree
local-authority:NET,open-digital-planning,expected,tree-preservation-order,tree-preservation-zone
local-authority:SWK,open-digital-planning,expected,article-4-direction,article-4-direction
local-authority:SWK,open-digital-planning,expected,article-4-direction,article-4-direction-area
local-authority:SWK,open-digital-planning,expected,conservation-area,conservation-area
local-authority:SWK,open-digital-planning,expected,listed-building,listed-building-outline
local-authority:SWK,open-digital-planning,expected,tree-preservation-order,tree
local-authority:SWK,open-digital-planning,expected,tree-preservation-order,tree
local-authority:SWK,open-digital-planning,expected,tree-preservation-order,tree-preservation-zone
government-organisation:D1342,,alternative,,area-of-outstanding-natural-beauty
government-organisation:D1342,,alternative,,article-4-direction-rule
government-organisation:D1342,,alternative,,battlefield
government-organisation:D1342,,alternative,,conservation-area
government-organisation:D1342,,alternative,,development-corporation
government-organisation:D1342,,alternative,,government-organisation
government-organisation:D1342,,alternative,,green-belt
government-organisation:D1342,,alternative,,national-park-authority
government-organisation:D1342,,alternative,,nonprofit
government-organisation:D1342,,alternative,,passenger-transport-executive
government-organisation:D1342,,alternative,,public-authority
government-organisation:D1342,,alternative,,ramsar
government-organisation:D1342,,alternative,,regional-park-authority
government-organisation:D1342,,alternative,,waste-authority
government-organisation:D1342,,alternative,,world-heritage-site
government-organisation:D1342,,encouraged,,article-4-direction-rule
government-organisation:D1342,,encouraged,,contribution-funding-status
government-organisation:D1342,,encouraged,,contribution-purpose
government-organisation:D1342,,encouraged,,design-code-category
government-organisation:D1342,,encouraged,,design-code-status
government-organisation:D1342,,encouraged,,developer-agreement-type
government-organisation:D1342,,encouraged,,green-belt-core
government-organisation:D1342,,encouraged,,infrastructure-funding-statement
government-organisation:D1342,,encouraged,,local-authority
government-organisation:D1342,,encouraged,,local-authority-type
government-organisation:D1342,,encouraged,,planning-permission-status
government-organisation:D1342,,encouraged,,planning-permission-type
government-organisation:D1342,,prospective,,development-plan-type
government-organisation:D1342,,statutory,,ownership-status
government-organisation:D1342,,statutory,,site-category
government-organisation:D303,,authoritative,,local-authority-district
government-organisation:D303,,authoritative,,local-planning-authority
government-organisation:D303,,authoritative,,national-park
government-organisation:D303,,authoritative,,parish
government-organisation:D303,,authoritative,,region
government-organisation:PB1164,,alternative,,conservation-area
government-organisation:PB1164,,authoritative,,battlefield
government-organisation:PB1164,,authoritative,,building-preservation-notice
government-organisation:PB1164,,authoritative,,certificate-of-immunity
government-organisation:PB1164,,authoritative,,heritage-at-risk
government-organisation:PB1164,,authoritative,,listed-building
government-organisation:PB1164,,authoritative,,listed-building-grade
government-organisation:PB1164,,authoritative,,park-and-garden
government-organisation:PB1164,,authoritative,,park-and-garden-grade
government-organisation:PB1164,,authoritative,,protected-wreck-site
government-organisation:PB1164,,authoritative,,scheduled-monument
government-organisation:PB1164,,authoritative,,world-heritage-site
government-organisation:PB1164,,authoritative,,world-heritage-site-buffer-zone
government-organisation:PB202,,authorititive,,ancient-woodland
government-organisation:PB202,,authorititive,,ancient-woodland-status
government-organisation:PB202,,authorititive,,area-of-outstanding-natural-beauty
government-organisation:PB202,,authorititive,,heritage-coast
government-organisation:PB202,,authorititive,,ramsar
government-organisation:PB202,,authorititive,,site-of-special-scientific-interest
government-organisation:PB202,,authorititive,,special-area-of-conservation
government-organisation:PB202,,authorititive,,special-protection-area
nonprofit:Q180,,alternative,,development-corporation
nonprofit:Q180,,alternative,,government-organisation
nonprofit:Q180,,alternative,,local-authority
nonprofit:Q180,,alternative,,national-park-authority
nonprofit:Q180,,alternative,,nonprofit
nonprofit:Q180,,alternative,,passenger-transport-executive
nonprofit:Q180,,alternative,,public-authority
nonprofit:Q180,,alternative,,regional-park-authority
nonprofit:Q180,,alternative,,waste-authority
