specification,dataset,field,datasets,requirement-level,description,guidance,hint,notes,start-date,end-date
development-plan,development-plan,entry-date,,SHOULD,,,,,,
development-plan,development-plan,start-date,,SHOULD,,,,,,
development-plan,development-plan,end-date,,MAY,,,,,,
development-plan,development-plan,notes,,MAY,,,,,,
development-plan,development-plan-timetable,reference,,MUST,,,,,,
development-plan,development-plan-timetable,development-plan,,MUST,,,,,,
development-plan,development-plan-timetable,development-plan-event,,MUST,,,,,,
development-plan,development-plan-timetable,predicted-date,,MUST,,,,,,
development-plan,development-plan-timetable,entry-date,,SHOULD,,,,,,
development-plan,development-plan-timetable,start-date,,SHOULD,,,,,,
development-plan,development-plan-timetable,notes,,MAY,,,,,,
development-plan,local-plan-housing,reference,,MUST,,,,,,
development-plan,local-plan-housing,local-plan,,MUST,,,,,,
development-plan,local-plan-housing,required-housing,,MUST,,,,,,
development-plan,local-plan-housing,committed-housing,,MAY,,,,,,
development-plan,local-plan-housing,allocated-housing,,MAY,,,,,,
development-plan,local-plan-housing,broad-locations-housing,,MAY,,,,,,
development-plan,local-plan-housing,windfall-housing,,MAY,,,,,,
development-plan,local-plan-housing,entry-date,,SHOULD,,,,,,
development-plan,local-plan-housing,start-date,,SHOULD,,,,,,
development-plan,local-plan-housing,end-date,,MAY,,,,,,
development-plan,local-plan-housing,notes,,MAY,,,,,,
development-policy,development-policy,reference,,,,,,,,
development-policy,development-policy,name,,,,,,,,
development-policy,development-policy,development-plan-document,,,,,,,,
development-policy,development-policy,development-policy-categories,,,,,,,,
development-policy,development-policy,organisation,,,,,,,,
development-policy,development-policy,entry-date,,,,,,,,
development-policy,development-policy,start-date,,,,,,,,
development-policy,development-policy,end-date,,,,,,,,
development-policy,development-policy-area,reference,,,,,,,,
development-policy,development-policy-area,name,,,,,,,,
development-policy,development-policy-area,development-policies,,,,,,,,
development-policy,development-policy-area,geometry,,,,,,,,
development-policy,development-policy-area,organisation,,,,,,,,
development-policy,development-policy-area,entry-date,,,,,,,,
development-policy,development-policy-area,start-date,,,,,,,,
development-policy,development-policy-area,end-date,,,,,,,,
infrastructure-funding-statement,infrastructure-funding-statement,reference,,,a unique identifier for the IFS document,,,,,
infrastructure-funding-statement,infrastructure-funding-statement,name,,,the name given to the IFS document,,,,,
infrastructure-funding-statement,infrastructure-funding-statement,document-url,,,a url to the IFS document,,,,,
infrastructure-funding-statement,infrastructure-funding-statement,documentation-url,,,a url to the page where the IFS document has been published,,,,,
infrastructure-funding-statement,infrastructure-funding-statement,organisation,,,a reference to the publishing organisation,,,,,
infrastructure-funding-statement,infrastructure-funding-statement,period-start-date,,,a date for the start of the period the document covers,,,,,
infrastructure-funding-statement,infrastructure-funding-statement,period-end-date,,,a date for the end of the period the document covers,,,,,
infrastructure-funding-statement,infrastructure-funding-statement,notes,,,any additional notes,,,,,
infrastructure-funding-statement,infrastructure-funding-statement,entry-date,,,the date this record was created,,,,,
infrastructure-funding-statement,infrastructure-funding-statement,start-date,,,"the date this record is valid from, for example the date the document was published to the urls provided",,,,,
infrastructure-funding-statement,infrastructure-funding-statement,end-date,,,"the date this record is not longer true, for example if the urls to the document change",,,,,
infrastructure-project,infrastructure-project,reference,,,the NSIP id,,,,,
infrastructure-project,infrastructure-project,name,,,the name of the project,,,,,
infrastructure-project,infrastructure-project,description,,,a brief description of the project,,,,,
infrastructure-project,infrastructure-project,applicant-organisation,,,the organisation id of the organisation making the application,,,,,
infrastructure-project,infrastructure-project,infrastructure-project-decision,,,"the decision, once it has been made. For example `consent-granted`",,,,,
infrastructure-project,infrastructure-project,decision-date,,,"the date the decision was made, for example `2023-09-14`",,,,,
infrastructure-project,infrastructure-project,decision-maker,,,which secretary of state made the decision,,,,,
infrastructure-project,infrastructure-project,geometry,,,the site boundary for the proposed development,,,,,
infrastructure-project,infrastructure-project,point,,,,,,,,
infrastructure-project,infrastructure-project,documentation-url,,,a url to a page with more information about the project,,,,,
infrastructure-project,infrastructure-project,infrastructure-project-type,,,"the type of project, for example generating-stations",,,,,
infrastructure-project,infrastructure-project,notes,,,any additional notes in this field,,,,,
infrastructure-project,infrastructure-project,organisation,,,the organisation id of the organisation that provided this data,,,,,
infrastructure-project,infrastructure-project,entry-date,,,,,,,,
infrastructure-project,infrastructure-project,start-date,,,,,,,,
infrastructure-project,infrastructure-project,end-date,,,,,,,,
infrastructure-project,infrastructure-project-log,reference,,,,,,,,
infrastructure-project,infrastructure-project-log,infrastructure-project,,,the ID of the infrastructure project,,,,,
infrastructure-project,infrastructure-project-log,infrastructure-project-event,,,an event reference for something that has happened during the process,,,,,
infrastructure-project,infrastructure-project-log,event-date,,,"the date the event happened, for example `2023-09-14`",,,,,
infrastructure-project,infrastructure-project-log,notes,,,any additional notes in this field,,,,,
infrastructure-project,infrastructure-project-log,organisation,,,the organisation id of the organisation that provided this data,,,,,
infrastructure-project,infrastructure-project-log,entry-date,,,,,,,,
infrastructure-project,infrastructure-project-log,start-date,,,,,,,,
infrastructure-project,infrastructure-project-log,end-date,,,,,,,,
infrastructure-project,infrastructure-project-document,reference,,,,,,,,
infrastructure-project,infrastructure-project-document,infrastructure-project,,,the ID of the infrastructure project,,,,,
infrastructure-project,infrastructure-project-document,document-type,,,"the type of document, for example development-consent-order",,,,,
infrastructure-project,infrastructure-project-document,name,,,a name for the document,,,,,
infrastructure-project,infrastructure-project-document,notes,,,any additional notes in this field,,,,,
infrastructure-project,infrastructure-project-document,organisation,,,the organisation id of the organisation that provided this data,,,,,
infrastructure-project,infrastructure-project-document,document-url,,,a url to the document,,,,,
infrastructure-project,infrastructure-project-document,documentation-url,,,a url to the webpage where the document has been published,,,,,
infrastructure-project,infrastructure-project-document,entry-date,,,,,,,,
infrastructure-project,infrastructure-project-document,start-date,,,,,,,,
infrastructure-project,infrastructure-project-document,end-date,,,,,,,,
listed-building,listed-building-outline,reference,,,"the <a href=""#reference"">reference</a> for the listed building","A reference or ID for each listed building that is:

- unique within your dataset
- permanent - it doesn't change when the dataset is updated
If you don't use a reference already, you will need to create one. It can be the Historic England reference used in the [register of listed buildings](https://historicengland.org.uk/listing/the-list/), or a short set of letters or numbers.

Example: `LB1`
",,,,
listed-building,listed-building-outline,name,,,the name of the listed building,"The name of the listed building, as listed in the [register of listed buildings](https://historicengland.org.uk/listing/the-list/).

Example: `10 and 12, Lower Clapton Road E5`
",,,,
listed-building,listed-building-outline,listed-building,,,"the Historic England identifier for the listed building, for example <a href=""https://historicengland.org.uk/listing/the-list/list-entry/1024710"" class=""govuk-link"">1024710</a>","The Historic England listed building reference for the listed building. This is recorded in the [register of listed buildings](https://historicengland.org.uk/listing/the-list/) as ""List Entry Number"".

Example: `1480524`
",,,,
listed-building,listed-building-outline,geometry,,,"the boundary of the area related to the listed building. Use curtilage (according to the <a href=""https://historicengland.org.uk/images-books/publications/listed-buildings-and-curtilage-advice-note-10/heag125-listed-buildings-and-curtilage/"" class=""govuk-link"">Historic England advice note</a>) if it’s available.","The outline of the listed building as a single polygon or multipolygon value. All points in the polygon must be in the WGS84 coordinate reference system.

If you’re providing geometry in a CSV, geometry should be in well-known text (WKT).

Example: `MULTIPOLYGON (((1.188829 51.23478,1.188376 51.234909,1.188381 51.234917,1.187912 51.235022...`

If you’re providing geometry in a GeoJSON, GML or Geopackage, use the associated geometry format.
",,,,
listed-building,listed-building-outline,description,,,a description of the area impacted by the listing,,,,,
listed-building,listed-building-outline,notes,,,optional notes,"Optional text on how this data was made or produced, or how it can be interpreted.
",,,,
listed-building,listed-building-outline,organisation,,,the organisation responsible for the listed building,,,,,
listed-building,listed-building-outline,uprns,,,a list of uprns contained in the area and therefore affected by the listing,,,,,
listed-building,listed-building-outline,entry-date,,,the date this information has been entered as a record,"The date the entity was last updated.

If the entity has never been updated, enter the same date as start-date.

Write in `YYYY-MM-DD` format.

Example: `2022-12-20`
",,,,
listed-building,listed-building-outline,start-date,,,the date the validity of the record starts,"The date from which the building was listed, written in `YYYY-MM-DD` format.

Example: `1984-03-28`
",,,,
listed-building,listed-building-outline,end-date,,,the date the validity of the record ends,"Where the building is no longer listed, this should be the date that it was [no longer in effect](https://standards.planning-data.dev/principles/#we-shouldn%E2%80%99t-delete-entries-in-a-register), written in YYYY-MM-DD format. If it's still listed, leave the cell blank.

Example: `1999-01-20`
",,,,
local-area-requirement,local-area-requirements,reference,,,a reference for the local area requirement document,,,,,
local-area-requirement,local-area-requirements,name,,,a name used for this local area requirements document,,,,,
local-area-requirement,local-area-requirements,description,,,a description of the local area requirements document,,,,,
local-area-requirement,local-area-requirements,organisation,,,the organisation responsible for the local area requirements,,,,,
local-area-requirement,local-area-requirements,document-urls,,,a list of urls to the documents that make up the local area requirements. Separate the urls with a `;`,,,,,
local-area-requirement,local-area-requirements,documentation-url,,,a url to the page where the document(s) are published,,,,,
local-area-requirement,local-area-requirements,period-start-date,,,the date the local area requirements became active,,,,,
local-area-requirement,local-area-requirements,notes,,,any additional notes about the local area requirements,,,,,
local-area-requirement,local-area-requirements,entry-date,,,the date this record was created,,,,,
local-area-requirement,local-area-requirements,start-date,,,the date the validity of the record starts,,,,,
local-area-requirement,local-area-requirements,end-date,,,the date the validity of the record starts,,,,,
local-plan-timetable,local-plan-timetable,reference,,MUST,,,,,,
local-plan-timetable,local-plan-timetable,local-plan,,MUST,,,,,,
local-plan-timetable,local-plan-timetable,local-plan-event,,MUST,,,,,,
local-plan-timetable,local-plan-timetable,predicted-earliest-date,,SHOULD,,,,,,
local-plan-timetable,local-plan-timetable,predicted-latest-date,,SHOULD,,,,,,
local-plan-timetable,local-plan-timetable,entry-date,,SHOULD,,,,,,
local-plan-timetable,local-plan-timetable,start-date,,SHOULD,,,,,,
local-plan-timetable,local-plan-timetable,notes,,MAY,,,,,,
local-plan,local-plan,reference,,MUST,,,,,,
local-plan,local-plan,name,,SHOULD,,,,,,
local-plan,local-plan,dataset,,SHOULD,,,,,,
local-plan,local-plan,period-start-date,,SHOULD,,,,,,
local-plan,local-plan,period-end-date,,SHOULD,,,,,,
local-plan,local-plan,local-planning-authorities,local-plan;supplementary-plan,SHOULD,,,,,,
local-plan,local-plan,mineral-planning-authorities,minerals-plan,SHOULD,,,,,,
local-plan,local-plan,waste-planning-authorities,waste-plan,SHOULD,,,,,,
local-plan,local-plan,local-plan-process,,SHOULD,,,,,,
local-plan,local-plan,documentation-url,,MUST,,,,,,
local-plan,local-plan,document-url,,MUST,,,,,,
local-plan,local-plan,entry-date,,SHOULD,,,,,,
local-plan,local-plan,start-date,,SHOULD,,,,,,
local-plan,local-plan,end-date,,MAY,,,,,,
local-plan,local-plan,notes,,MAY,,,,,,
local-plan,local-plan-housing,reference,,MUST,,,,,,
local-plan,local-plan-housing,local-plan,,MUST,,,,,,
local-plan,local-plan-housing,local-planning-authority,,SHOULD,,,,,,
local-plan,local-plan-housing,required-housing,,SHOULD,,,,,,
local-plan,local-plan-housing,committed-housing,,SHOULD,,,,,,
local-plan,local-plan-housing,allocated-housing,,SHOULD,,,,,,
local-plan,local-plan-housing,broad-locations-housing,,SHOULD,,,,,,
local-plan,local-plan-housing,windfall-housing,,SHOULD,,,,,,
local-plan,local-plan-housing,entry-date,,SHOULD,,,,,,
local-plan,local-plan-housing,start-date,,SHOULD,,,,,,
local-plan,local-plan-housing,end-date,,MAY,,,,,,
local-plan,local-plan-housing,notes,,MAY,,,,,,
local-plan,local-plan-document,reference,,MUST,,,,,,
local-plan,local-plan-document,name,,MUST,,,,,,
local-plan,local-plan-document,description,,MAY,,,,,,
local-plan,local-plan-document,local-plan,,MUST,,,,,,
local-plan,local-plan-document,document-types,,SHOULD,,,,,,
local-plan,local-plan-document,documentation-url,,SHOULD,,,,,,
local-plan,local-plan-document,document-url,,MUST,,,,,,
local-plan,local-plan-document,entry-date,,SHOULD,,,,,,
local-plan,local-plan-document,start-date,,SHOULD,,,,,,
local-plan,local-plan-document,end-date,,MAY,,,,,,
local-plan,local-plan-document,notes,,MAY,,,,,,
local-planning-authority,local-planning-authority,reference,,MUST,,,,,,
local-planning-authority,local-planning-authority,name,,SHOULD,,,,,,
local-planning-authority,local-planning-authority,documentation-url,,SHOULD,,,,,,
local-planning-authority,local-planning-authority,document-url,,SHOULD,,,,,,
local-planning-authority,local-planning-authority,geometry,,SHOULD,,,,,,
local-planning-authority,local-planning-authority,entry-date,,SHOULD,,,,,,
local-planning-authority,local-planning-authority,start-date,,SHOULD,,,,,,
local-planning-authority,local-planning-authority,end-date,,MAY,,,,,,
local-planning-authority,local-planning-authority,notes,,MAY,,,,,,
planning-application-decision,planning-application,reference,,,"The planning application reference (for example, ""27/AP/9032"")",,,,,
planning-application-decision,planning-application,name,,,"Name of the planning application (for example, ""Residential alteration to Downton House"")",,,,,
planning-application-decision,planning-application,description,,,"Brief description of the application (for example, ""Alterations to two windows on the southern elevation of the 3rd floor flat"")",,,,,
planning-application-decision,planning-application,address-text,,,"The address of the site as a single line of text (for example, ""11 High Street, Ambridge, BO22 3LL"")",,,,,
planning-application-decision,planning-application,uprn,,,The UPRN for the primary address of the site,,,,,
planning-application-decision,planning-application,geometry,,,"the boundary of the site as a POLYGON or MULTIPOLYGON, with points in the EPSG 4326 coordinate reference system, and WGS85 datum, encoded in Well-Known Text (WKT) representation of geometry",,,,,
planning-application-decision,planning-application,point,,,,,,,,
planning-application-decision,planning-application,documentation-url,,,The URL of this planning application in the planning register.,,,,,
planning-application-decision,planning-application,planning-application-type,,,"The reference code for the type of planning application (for example ""full-planning-permission"")",,,,,
planning-application-decision,planning-application,planning-decision,,,"The reference code for the planning decision made (for example ""pending"" or ""permission-in-principle"")",,,,,
planning-application-decision,planning-application,planning-decision-type,,,"The reference code for the way the decision was made (for example ""committee"")",,,,,
planning-application-decision,planning-application,notes,,,Optional notes text,,,,,
planning-application-decision,planning-application,organisation,,,The reference code for the organisation responsible for processing the planning application,,,,,
planning-application-decision,planning-application,entry-date,,,The date this data was created or last updated,,,,,
planning-application-decision,planning-application,start-date,,,The date the planning application was submitted,,,,,
planning-application-decision,planning-application,decision-date,,,The date the planning application was decided upon,,,,,
planning-application-decision,planning-application,end-date,,,The date the planning application was withdrawn or removed from the register,,,,,
planning-application-decision,planning-application-log,reference,,,"The reference for the planning application status (for example, ""27/AP/9032/FULL"")",,,,,
planning-application-decision,planning-application-log,planning-application,,,"The planning application reference (for example, ""27/AP/9032"")",,,,,
planning-application-decision,planning-application-log,planning-application-status,,,"The reference code for the change of planning application status (for example ""validated"", ""decided"" or ""under-appeal"")",,,,,
planning-application-decision,planning-application-log,documentation-url,,,The URL for a web page where a user can see the change in the planning application status,,,,,
planning-application-decision,planning-application-log,document-url,,,The URL for a document which evidences the change in the planning application status,,,,,
planning-application-decision,planning-application-log,notes,,,Optional notes text,,,,,
planning-application-decision,planning-application-log,organisation,,,The code for the organisation responsible for processing the application,,,,,
planning-application-decision,planning-application-log,event-date,,,The date this event happened or the change in status applies from,,,,,
planning-application-decision,planning-application-log,entry-date,,,The date this data was created or last updated,,,,,
planning-application-decision,planning-application-log,start-date,,,The date this fact was true from,,,,,
planning-application-decision,planning-application-log,end-date,,,The date this change of event no longer applies. This is the same as the start-date in case of an error,,,,,
planning-application-decision,planning-application-document,reference,,,"An unique identifier for the document (for example, ""27/AP/9032/DOC/3"")",,,,,
planning-application-decision,planning-application-document,name,,,The name of this document,,,,,
planning-application-decision,planning-application-document,description,,,Brief description of this document,,,,,
planning-application-decision,planning-application-document,planning-application,,,"The planning application reference (for example, ""27/AP/9032"")",,,,,
planning-application-decision,planning-application-document,document-type,,,"The code for this document type (for example ""proposed-plan"")",,,,,
planning-application-decision,planning-application-document,documentation-url,,,The webpage where you can find this document,,,,,
planning-application-decision,planning-application-document,document-url,,,The URL of the actual document,,,,,
planning-application-decision,planning-application-document,notes,,,Optional notes,,,,,
planning-application-decision,planning-application-document,organisation,,,"The code for the responsible organisation (for example, local-authority-eng:BST)",,,,,
planning-application-decision,planning-application-document,entry-date,,,The date this data was created or last updated,,,,,
planning-application-decision,planning-application-document,start-date,,,The date the document was published,,,,,
planning-condition,planning-condition,reference,,,a reference for the planning condition,,,,,
planning-condition,planning-condition,name,,,a name used for this planning condition,,,,,
planning-condition,planning-condition,description,,,text explaining the condition,,,,,
planning-condition,planning-condition,reason,,,a text reason for the condition,,,,,
planning-condition,planning-condition,organisation,,,the organisation that created the condition,,,,,
planning-condition,planning-condition,notes,,,any additional notes about the condition,,,,,
planning-condition,planning-condition,entry-date,,,the date the condition record was created,,,,,
planning-condition,planning-condition,start-date,,,the date the validity of the record starts,,,,,
planning-condition,planning-condition,end-date,,,the date the validity of the record starts,,,,,
planning-condition,planning-application-condition,reference,,,a reference for the planning application - condition connection,,,,,
planning-condition,planning-application-condition,planning-application,,,a planning application reference,,,,,
planning-condition,planning-application-condition,planning-condition,,,a planning condition reference,,,,,
planning-condition,planning-application-condition,document-url,,,a url to the decision notice that includes details of the condition applying to the planning application,,,,,
planning-condition,planning-application-condition,documentation-url,,,a url to a page where it is possible to find the decision notice,,,,,
planning-condition,planning-application-condition,description,,,a description of the condition applied to the application,,,,,
planning-condition,planning-application-condition,organisation,,,the organisation that as added the condition to the planning application,,,,,
planning-condition,planning-application-condition,notes,,,any additional notes about the planning application - condition connection,,,,,
planning-condition,planning-application-condition,entry-date,,,the date the record was created,,,,,
planning-condition,planning-application-condition,start-date,,,the date the validity of the record starts,,,,,
planning-condition,planning-application-condition,end-date,,,the date the validity of the record starts,,,,,
tree-preservation-order,tree-preservation-order,reference,,,"the <a href=""#reference"">reference</a> for the tree preservation order","A reference or ID for each tree preservation order that is:

- unique within your dataset
- permanent - it doesn't change when the dataset is updated
If you don't use a reference already, you will need to create one. This can be a short set of letters or numbers.

Example: `TPO1`
",,,,
tree-preservation-order,tree-preservation-order,name,,,the name of the tree preservation order,"This will be the title of the page hosting data about this tree preservation order on your website. This can be:

- name
- reference
- address
- blank
",,,,
tree-preservation-order,tree-preservation-order,documentation-url,,,the URL of the web page where you can find information about the tree preservation order,"The URL of the webpage on your website that introduces the document.

Each document should be linked to from a documentation webpage that includes a short description of the data and the document you’re linking to. Each tree preservation order should have a unique URL. This means you can create a separate page for each one, or you could list several on one page. If you do that, there must be a separate anchor link (fragment identifier) for each one.

This means each section of your page should have its own URL. Most publishing systems will allow you to use a hashtag to create the identifiers for each tree preservation order you list - as in the examples shown.

Examples:

One tree preservation order per page:

`http://www.LPAwebsite.org.uk/data/treepreservationorders/smithroad`

More than one tree preservation order per page with an anchor link for each one:

`http://www.LPAwebsite.org.uk/data/treepreservationorders#smithroad`

`http://www.LPAwebsite.org.uk/data/treepreservationorders#broadhousepark`
",,,,
tree-preservation-order,tree-preservation-order,document-url,,,the URL of the tree preservation order document. If a TPO is revoked you can blank out this field.,"The URL of an authoritative order or notice designating the tree preservation order. If the TPO has been revoked, you can blank out this field.

Example: `http://www.LPAwebsite.org.uk/tpo1.pdf`
",,,,
tree-preservation-order,tree-preservation-order,made-date,,,"the date the tree preservation order was ""made""","The date a tree preservation order was made available to the public. The tree or trees are temporarily protected from this date, until the order is confirmed.

Write in YYYY-MM-DD format.

Example: `2022-12-20`
",,,,
tree-preservation-order,tree-preservation-order,confirmed-date,,,"the date the tree preservation order was ""confirmed""","The date a tree preservation order is confirmed as being in effect, and the tree or trees are fully protected. This comes after all objections have been considered.

Write in YYYY-MM-DD format.

Example: `2022-12-20`
",,,,
tree-preservation-order,tree-preservation-order,notes,,,optional notes,"Optional text on how this data was or produced, or how it can be interpreted.
",,,,
tree-preservation-order,tree-preservation-order,organisation,,,the organisation responsible for this tree preservation order,,,,,
tree-preservation-order,tree-preservation-order,entry-date,,,"the <a href=""#date"">date</a> this entry was created or amended","The date the entity was last updated.

If the entity has never been updated, enter the same date as start-date.

Write in YYYY-MM-DD format.

Example: `2022-12-20`
",,,,
tree-preservation-order,tree-preservation-order,start-date,,,"the <a href=""#date"">date</a> the tree preservation order came into force","The date that the tree preservation order came into force, written in `YYYY-MM-DD` format.

Example: `1984-03-28`
",,,,
tree-preservation-order,tree-preservation-order,end-date,,,"the <a href=""#date"">date</a> the tree preservation order was revoked. Leave blank if the TPO is still active","Where the tree preservation order is [revoked](https://standards.planning-data.dev/principles/#we-shouldn%E2%80%99t-delete-entries-in-a-register), this should be the date that it was no longer in effect, written in `YYYY-MM-DD` format. If the TPO is still active, leave this field blank. If the tree has been felled, use the felled-date field.

Example: `1999-01-20`
",,,,
tree-preservation-order,tree-preservation-zone,reference,,,"the <a href=""#reference"">reference</a> for the tree preservation zone","A reference or ID for each tree preservation zone that is:

- unique within your dataset
- permanent - it doesn't change when the dataset is updated
If you don't use a reference already, you will need to create one. This can be a short set of letters or numbers.

Example: `TPO1`
",,,,
tree-preservation-order,tree-preservation-zone,name,,,the name of the tree preservation zone,"This will be the display name of the page hosting data about this tree preservation zone on your website. This can be:

- name
- reference
- address
- blank
",,,,
tree-preservation-order,tree-preservation-zone,tree-preservation-order,,,"the <a href=""#reference"">reference</a> for the tree preservation order","The reference for the tree preservation order that covers this zone.
",,,,
tree-preservation-order,tree-preservation-zone,tree-preservation-zone-type,,,"the type of zone, for example area, group or woodland","What sort of tree preservation zone this is.

This can be:

- area
- group
- woodland
",,,,
tree-preservation-order,tree-preservation-zone,geometry,,,the boundary of the area covered by the tree preservation zone in WKT format,"The boundary for the tree preservation zone as a single polygon or multipolygon value. All points in the polygon must be in the WGS84 coordinate reference system.

If you’re providing geometry in a CSV, geometry should be in well-known text (WKT).

Example: `MULTIPOLYGON (((1.188829 51.23478,1.188376 51.234909,1.188381 51.234917,1.187912 51.235022...`

If you’re providing geometry in a GeoJSON, GML or Geopackage, use the associated geometry format.
",,,,
tree-preservation-order,tree-preservation-zone,point,,,the centre of the tree preservation zone if you cannot provide the full geometry,,,,,
tree-preservation-order,tree-preservation-zone,notes,,,optional notes,"Optional text on how this data was made or produced, or how it can be interpreted.
",,,,
tree-preservation-order,tree-preservation-zone,organisation,,,the organisation responsible for this tree preservation order,,,,,
tree-preservation-order,tree-preservation-zone,entry-date,,,"the <a href=""#date"">date</a> this entry was created or amended","The date the entity was last updated.

If the entity has never been updated, enter the same date as start-date.

Write in `YYYY-MM-DD` format.

Example: `2022-12-20`
",,,,
tree-preservation-order,tree-preservation-zone,start-date,,,"the <a href=""#date"">date</a> the tree preservation zone came into force","The date that the tree preservation order came into force, written in `YYYY-MM-DD` format.

Example: `1984-03-28`
",,,,
tree-preservation-order,tree-preservation-zone,end-date,,,"the <a href=""#date"">date</a> the tree preservation zone ended or leave blank if the zone is still active","If applicable, the date that the tree preservation order was revoked, written in `YYYY-MM-DD` format. If it's still in effect, leave the cell blank.

Example: `1999-01-20`
",,,,
tree-preservation-order,tree,reference,,,the number or reference for the tree which appears in the preservation order,"A reference or ID for each tree that is:

- unique within your dataset
- permanent - it doesn't change when the dataset is updated
If you don't use a reference already, you will need to create one. This can be a short set of letters or numbers.

Example: `T1`
",,,,
tree-preservation-order,tree,name,,,the name of the tree,"This will be the title of the page hosting data about this tree preservation order on your website. This can be:

- name
- reference
- address
- blank
",,,,
tree-preservation-order,tree,tree-preservation-order,,,"the <a href=""#reference"">reference</a> for the tree preservation order","The reference for the tree preservation order that affects this tree.

Example: `TPO1`
",,,,
tree-preservation-order,tree,uprn,,,unique property reference number if the tree is located on an addressable property,"If the tree has one, you can provide the Unique Property Reference Number (UPRN). [Find the UPRN on GeoPlace](https://www.geoplace.co.uk/addresses-streets/location-data/the-uprn).

If you provide the UPRN, you must also provide the address text.
",,,,
tree-preservation-order,tree,address-text,,,the address of the property,"If the tree has one, you can provide the address, written as text.

If you provide the address text, you must also provide the UPRN.

Example: `100 High Street, Bath`
",,,,
tree-preservation-order,tree,point,,,the centre of the tree area if you cannot provide the full geometry,"The approximate location of the centre of the tree.

You must provide a point or geometry for each tree. You may provide both.

The point must be in the WGS84 coordinate reference system. If you’re providing point in a CSV, geometry should be in well-known text (WKT).

Example: `POINT (-0.681152 52.762892)`

If you’re providing point in a GeoJSON, GML or Geopackage, use the associated geometry format.
",,,,
tree-preservation-order,tree,geometry,,,the boundary of the area covered by the tree in WKT format,"The boundary of the tree as a single polygon or multipolygon value. All points in the polygon must be in the WGS84 coordinate reference system.

If you’re providing geometry in a CSV, geometry should be in well-known text (WKT).

You must provide a point or geometry for each tree. You may provide both.

Example: `MULTIPOLYGON (((1.188829 51.23478,1.188376 51.234909,1.188381 51.234917,1.187912 51.235022...`

If you’re providing geometry in a GeoJSON, GML or Geopackage, use the associated geometry format.
",,,,
tree-preservation-order,tree,notes,,,optional notes,"Optional text on how this data was made or produced, or how it can be interpreted.
",,,,
tree-preservation-order,tree,organisation,,,the organisation responsible for this tree,,,,,
tree-preservation-order,tree,felled-date,,,the date the tree was felled,"If applicable, the date that the tree was felled, written in `YYYY-MM-DD` format. If the tree hasn't been felled, leave this field blank.
",,,,
tree-preservation-order,tree,entry-date,,,"the <a href=""#date"">date</a> this entry was created or amended","The date the entity was last updated.

If the entity has never been updated, enter the same date as start-date.

Write in `YYYY-MM-DD` format.

Example: `2022-12-20`
",,,,
tree-preservation-order,tree,start-date,,,"the <a href=""#date"">date</a> from which the tree preservation order affects the tree","The date from which the tree preservation order affects the tree, written in `YYYY-MM-DD` format.

Example: `1984-03-28`
",,,,
tree-preservation-order,tree,end-date,,,"the <a href=""#date"">date</a> the tree preservation order no longer affects the tree, or leave blank if the tree is still under the order. Use the felled-date if the tree has been felled.","Where the tree preservation order is [revoked](https://standards.planning-data.dev/principles/#we-shouldn%E2%80%99t-delete-entries-in-a-register), this should be the date that it was no longer in effect, written in `YYYY-MM-DD` format. If the TPO is still active, leave this field blank. If the tree has been felled, use the felled-date field.

Example: `1999-01-20`
",,,,
